"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2465.90373708445,2676.58595766575,0.7337,NA,42.61,0,0,35.751,0.388,0,0,1,1,1,0,0,1,1,0.388
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2467.81753042785,2678.47120596253,0.73409,NA,42.23,0,1.914,37.637,0.149,0,0,1,1,1,0,1,1,1,0.537
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2468.22480987004,2682.90072751552,0.73363,NA,43.52,0,2.321,42.066,0.122,0,1,1,1,1,0,0,1,1,0.659
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2468.31735378536,2674.98443148952,0.73326,NA,41.05,0,2.414,34.15,0.116,0,0,1,1,1,1,0,1,1,0.775
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2469.37395300721,2670.84118936524,0.73343,NA,39.82,0,3.47,30.007,0.068,0,0,1,1,1,1,1,1,1,0.843
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2470.07254748877,2684.72249718102,0.73405,NA,43.15,0,4.169,43.888,0.048,0,1,1,1,1,0,1,1,1,0.891
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2470.77613358338,2680.63935487724,0.73265,NA,41.74,0,4.872,39.805,0.034,0,1,1,1,1,1,0,1,1,0.925
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2471.62878337098,2676.5006799465,0.73289,NA,40.56,0,5.725,35.666,0.022,0,1,1,1,1,1,1,1,1,0.947
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2472.99959116848,2671.40854010335,0.73373,NA,39.97,0,7.096,30.574,0.011,0,0,1,1,1,0,0,0,1,0.958
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2474.11432246261,2672.97433116459,0.73441,NA,39.69,0,8.211,32.14,0.006,0,0,1,1,1,0,1,0,1,0.964
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2474.63571506855,2657.65973470636,0.72895,NA,36.05,0,8.732,16.825,0.005,0,0,1,1,0,1,1,1,1,0.969
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2474.96343791517,2688.32171134394,0.73118,NA,42.62,0,9.06,47.487,0.004,0,1,1,1,0,0,0,1,1,0.973
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2475.19563931225,2677.69930338983,0.73378,NA,40.91,0,9.292,36.865,0.004,0,1,1,1,1,0,0,0,1,0.977
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2475.68196772402,2662.83337051048,0.72879,NA,37.1,0,9.778,21.999,0.003,0,1,1,1,0,1,1,1,1,0.98
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2476.05393646821,2674.26387873402,0.72973,NA,39.9,0,10.15,33.429,0.002,0,0,1,1,0,0,0,1,1,0.982
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2476.210714233,2679.23031656529,0.73454,NA,40.65,0,10.307,38.396,0.002,0,1,1,1,1,0,1,0,1,0.984
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2476.53467392283,2666.02476258987,0.72745,NA,37.18,0,10.631,25.19,0.002,0,0,1,1,0,1,0,1,1,0.986
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2477.1463767616,2677.95168641559,0.73952,NA,40.65,0,11.243,37.117,0.001,0,0,1,0,1,0,0,1,1,0.987
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2477.22172487893,2671.88950903166,0.7329,NA,38.19,0,11.318,31.055,0.001,0,0,1,1,1,1,0,0,1,0.988
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2477.26683324023,2669.3157448254,0.72667,NA,37.84,0,11.363,28.481,0.001,0,1,1,1,0,1,0,1,1,0.989
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2478.09480870604,2669.20068079782,0.73376,NA,37.18,0,12.191,28.366,0.001,0,0,1,1,1,1,1,0,1,0.99
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2478.31896992092,2682.8120954368,0.73926,NA,41.58,0,12.415,41.977,0.001,0,1,1,0,1,0,0,1,1,0.991
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2478.40520749909,2687.29386203865,0.72958,NA,41.19,0,12.501,46.459,0.001,0,1,1,1,0,0,1,1,1,0.992
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2478.4477324206,2680.4330230464,0.74043,NA,40.47,0,12.544,39.598,0.001,0,0,1,0,1,0,1,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2479.27482960192,2665.37523458786,0.72971,NA,37.74,0,13.371,24.541,0,0,0,1,1,0,0,0,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2479.81679703871,2678.53218748111,0.73919,NA,39.3,0,13.913,37.698,0,0,0,1,0,1,1,0,1,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2479.86347308929,2685.9548768382,0.74016,NA,41.42,0,13.96,45.12,0,0,1,1,0,1,0,1,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2479.91194506477,2652.16967554991,0.72961,NA,34.02,0,14.008,11.335,0,0.002,0,1,1,0,1,1,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2479.96091818715,2678.47603075864,0.73249,NA,38.96,0,14.057,37.641,0,0,1,1,1,1,1,0,0,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2480.22343146748,2668.7992229498,0.73894,NA,38.36,0,14.32,27.965,0,0,0,1,0,1,0,0,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2480.69388090208,2676.92775626341,0.72792,NA,38.38,0,14.79,36.093,0,0,0,1,1,0,0,1,1,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2480.8652261744,2670.34524164295,0.74006,NA,38.22,0,14.961,29.511,0,0,0,1,0,1,0,1,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.14200904517,2677.10582316604,0.73344,NA,38,0,15.238,36.271,0,0,1,1,1,1,1,1,0,1,0.993
