"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.81670590442,1536.55278480611,0.45875,NA,36.91,0,35.746,35.101,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.92237459342,1527.71267496006,0.42063,NA,35.26,0,35.851,26.261,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.94704798315,1545.86801318066,0.45714,NA,39.19,0,35.876,44.417,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.0100412329,1532.97005270258,0.44983,NA,37.37,0,35.939,31.519,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.03644326959,1531.54210773797,0.48258,NA,34.84,0,35.965,30.091,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.999
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.0465175309,1535.53659913107,0.45641,NA,36.93,0,35.975,34.085,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.05784290557,1541.76020625105,0.45853,NA,38.05,0,35.987,40.309,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.08974567455,1538.60183073763,0.46582,NA,37.14,0,36.019,37.151,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.12251751389,1534.17967844285,0.48503,NA,35.53,0,36.051,32.728,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0.999
"Days_10N+log_den_STRPURAD+Max_Monthly_Nitrate","Days_10N+log_den_STRPURAD+Max_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.14608538184,1508.98289672663,0.45287,NA,32.46,0,36.075,7.532,0,0.003,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.15738492378,1524.16947393529,0.48519,NA,34.82,0,36.086,22.718,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_95prc","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.17632754698,1526.40446468625,0.45154,NA,35.52,0,36.105,24.953,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.17920518647,1526.33682969365,0.37765,NA,34.42,0,36.108,24.886,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0.999
"log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.22636904381,1520.94119865468,0.39231,NA,33.69,0,36.155,19.49,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.27920422563,1543.40248217389,0.44805,NA,38.01,0,36.208,41.951,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0.999
"log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.33044480874,1521.50951147826,0.39066,NA,33.68,0,36.259,20.058,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.33607645437,1527.97996456732,0.49463,NA,35.31,0,36.265,26.529,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.34468638396,1542.76077126899,0.45935,NA,38.73,0,36.274,41.309,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0.999
"Days_10N+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","Days_10N+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.35351198945,1536.3562195621,0.46425,NA,35.33,0,36.282,34.905,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.3554072693,1525.83345735115,0.45001,NA,35.43,0,36.284,24.382,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Upwelling_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Upwelling_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.37800519838,1525.5207697506,0.43528,NA,34.65,0,36.307,24.069,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0.999
"Days_10N+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.38600021315,1517.31424999646,0.44849,NA,34.05,0,36.315,15.863,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.42410430112,1544.68705379118,0.45787,NA,38.64,0,36.353,43.236,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Upwelling_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.44965891957,1543.98491184738,0.46697,NA,37.97,0,36.379,42.534,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate","log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.46964990906,1510.39929579272,0.45403,NA,32.71,0,36.399,8.948,0,0.001,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.4745081751,1542.98468294976,0.48979,NA,37.87,0,36.403,41.533,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0.999
"log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.48898602881,1515.49693613779,0.4435,NA,33.52,0,36.418,14.046,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc","log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.49133488235,1535.19420350514,0.48341,NA,35.92,0,36.42,33.743,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.5054925269,1522.32633219465,0.4866,NA,34.37,0,36.434,20.875,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+wh_95prc","log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.51795554977,1532.95346233508,0.44792,NA,37.29,0,36.447,31.502,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Nitrate","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Nitrate","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.52609558906,1512.44741881546,0.45315,NA,33.15,0,36.455,10.996,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.54886435945,1538.26121765164,0.48699,NA,36.31,0,36.478,36.81,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.59138003717,1543.61520603315,0.44765,NA,37.95,0,36.52,42.164,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.62315629339,1528.83622566879,0.41953,NA,34.96,0,36.552,27.385,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.62823121327,1546.63304730671,0.4724,NA,38.96,0,36.557,45.182,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.64316329795,1519.53906819561,0.49207,NA,32.14,0,36.572,18.088,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.72813753212,1530.80461929188,0.42152,NA,35.9,0,36.657,29.353,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1358.79569034553,1530.2389447628,0.42114,NA,35.58,0,36.725,28.788,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0.999
