"year","latlon","max.area","latitude","longitude","longitude.1","latitude.1"
"2021","38.89741_-123.7077",0,38.89741,-123.7077,-321174.790700967,104217.794891329
"2021","39.22244_-123.7784",0,39.22244,-123.7784,-325856.585604275,140555.479689375
"2021","38.92969_-123.734",0,38.92969,-123.734,-323310.550620611,107892.285679643
"2021","39.13895_-123.7299",0,39.13895,-123.7299,-322040.97161236,131118.193521644
"2021","38.79694_-123.5924",0,38.79694,-123.5924,-311614.971901641,92673.9984369269
"2021","39.12846_-123.7211",0,39.12846,-123.7211,-321327.31319211,129923.384097067
"2020","36.94587_-122.0713",49,36.94587,-122.0713,-122.0713,36.94587
"2020","36.94598_-122.0514",30,36.94598,-122.0514,-122.0514,36.94598
"2020","36.946_-122.0541",20,36.946,-122.0541,-122.0541,36.946
"2020","36.94602_-122.0565",59,36.94602,-122.0565,-122.0565,36.94602
"2020","36.94604_-122.0595",18,36.94604,-122.0595,-122.0595,36.94604
"2020","36.94696_-122.0733",164,36.94696,-122.0733,-122.0733,36.94696
"2020","36.94761_-122.0524",284,36.94761,-122.0524,-122.0524,36.94761
"2020","36.94832_-121.9753",38,36.94832,-121.9753,-121.9753,36.94832
"2020","36.94854_-122.0335",110,36.94854,-122.0335,-122.0335,36.94854
"2020","36.94886_-122.0736",180,36.94886,-122.0736,-122.0736,36.94886
"2020","36.94889_-121.979",67,36.94889,-121.979,-121.979,36.94889
"2020","36.9496_-122.0315",668,36.9496,-122.0315,-122.0315,36.9496
"2020","36.95_-122.081",77,36.95,-122.081,-122.081,36.95
"2020","36.9501_-122.0258",187,36.9501,-122.0258,-122.0258,36.9501
"2020","36.95064_-122.0938",32,36.95064,-122.0938,-122.0938,36.95064
"2020","36.95101_-122.0376",50,36.95101,-122.0376,-122.0376,36.95101
"2020","36.95116_-122.0231",182,36.95116,-122.0231,-122.0231,36.95116
"2020","36.9517_-122.0918",434,36.9517,-122.0918,-122.0918,36.9517
"2020","36.95178_-121.9692",33,36.95178,-121.9692,-121.9692,36.95178
"2020","36.95181_-121.9722",367,36.95181,-121.9722,-121.9722,36.95181
"2020","36.95205_-122.1012",72,36.95205,-122.1012,-122.1012,36.95205
"2020","36.95254_-122.0945",144,36.95254,-122.0945,-122.0945,36.95254
"2020","36.9526_-122.1036",72,36.9526,-122.1036,-122.1036,36.9526
"2020","36.95289_-122.1059",32,36.95289,-122.1059,-122.1059,36.95289
"2020","36.95318_-121.9745",360,36.95318,-121.9745,-121.9745,36.95318
"2020","36.95451_-122.1046",435,36.95451,-122.1046,-122.1046,36.95451
"2020","36.95455_-122.11",176,36.95455,-122.11,-122.11,36.95455
"2020","36.95528_-121.9671",74,36.95528,-121.9671,-121.9671,36.95528
"2020","36.95541_-121.9816",117,36.95541,-121.9816,-121.9816,36.95541
"2020","36.95552_-121.963",42,36.95552,-121.963,-121.963,36.95552
"2020","36.95603_-122.024",83,36.95603,-122.024,-122.024,36.95603
"2020","36.95741_-121.963",174,36.95741,-121.963,-121.963,36.95741
"2020","36.95824_-121.965",123,36.95824,-121.965,-121.965,36.95824
"2020","36.95846_-121.959",32,36.95846,-121.959,-121.959,36.95846
"2020","36.96031_-122.122",387,36.96031,-122.122,-122.122,36.96031
"2020","36.96035_-121.9589",30,36.96035,-121.9589,-121.9589,36.96035
"2020","36.96064_-121.9613",318,36.96064,-121.9613,-121.9613,36.96064
"2020","36.96198_-122.1284",270,36.96198,-122.1284,-122.1284,36.96198
"2020","36.9622_-122.1213",54,36.9622,-122.1213,-122.1213,36.9622
"2020","36.96357_-121.9562",32,36.96357,-121.9562,-121.9562,36.96357
"2020","36.96418_-122.1328",79,36.96418,-122.1328,-122.1328,36.96418
"2020","36.96545_-121.9552",64,36.96545,-121.9552,-121.9552,36.96545
"2020","36.96637_-122.1371",50,36.96637,-122.1371,-122.1371,36.96637
"2020","36.9672_-122.1391",191,36.9672,-122.1391,-122.1391,36.9672
"2020","36.9681_-121.949",63,36.9681,-121.949,-121.949,36.9681
"2020","36.96909_-122.1384",261,36.96909,-122.1384,-122.1384,36.96909
"2020","36.96911_-122.1408",345,36.96911,-122.1408,-122.1408,36.96911
"2020","36.97072_-122.1394",207,36.97072,-122.1394,-122.1394,36.97072
"2020","37.03846_-122.2385",113,37.03846,-122.2385,-122.2385,37.03846
"2020","37.04172_-122.2412",151,37.04172,-122.2412,-122.2412,37.04172
"2020","37.06593_-122.2632",117,37.06593,-122.2632,-122.2632,37.06593
"2020","37.0985_-122.3287",108,37.0985,-122.3287,-122.3287,37.0985
"2020","37.10234_-122.3378",176,37.10234,-122.3378,-122.3378,37.10234
"2020","37.10256_-122.3297",452,37.10256,-122.3297,-122.3297,37.10256
"2020","37.10834_-122.301",160,37.10834,-122.301,-122.301,37.10834
"2020","37.10896_-122.3131",119,37.10896,-122.3131,-122.3131,37.10896
"2020","37.10972_-122.305",149,37.10972,-122.305,-122.305,37.10972
"2020","37.10996_-122.2999",54,37.10996,-122.2999,-122.2999,37.10996
"2020","37.11057_-122.3114",151,37.11057,-122.3114,-122.3114,37.11057
"2020","37.11302_-122.3148",45,37.11302,-122.3148,-122.3148,37.11302
"2020","37.11319_-122.3448",317,37.11319,-122.3448,-122.3448,37.11319
"2020","37.11387_-122.3212",149,37.11387,-122.3212,-122.3212,37.11387
"2020","37.11647_-122.3505",114,37.11647,-122.3505,-122.3505,37.11647
"2020","37.11753_-122.3478",144,37.11753,-122.3478,-122.3478,37.11753
"2020","37.11756_-122.3525",155,37.11756,-122.3525,-122.3525,37.11756
"2020","37.12272_-122.3565",92,37.12272,-122.3565,-122.3565,37.12272
"2020","37.90122_-122.6921",149,37.90122,-122.6921,-122.6921,37.90122
"2020","37.936_-122.766",81,37.936,-122.766,-122.766,37.936
"2020","37.94358_-122.7718",226,37.94358,-122.7718,-122.7718,37.94358
"2020","37.94685_-122.7827",25,37.94685,-122.7827,-122.7827,37.94685
"2020","37.94765_-122.7796",132,37.94765,-122.7796,-122.7796,37.94765
"2020","38.00508_-122.8413",29,38.00508,-122.8413,-122.8413,38.00508
"2020","38.28151_-122.9937",61,38.28151,-122.9937,-122.9937,38.28151
"2020","38.45446_-123.1443",414,38.45446,-123.1443,-123.1443,38.45446
"2020","38.50889_-123.2538",33,38.50889,-123.2538,-123.2538,38.50889
"2020","38.52615_-123.2711",16,38.52615,-123.2711,-123.2711,38.52615
"2020","38.52886_-123.2697",19,38.52886,-123.2697,-123.2697,38.52886
"2020","38.52965_-123.2766",17,38.52965,-123.2766,-123.2766,38.52965
"2020","38.53099_-123.2807",23,38.53099,-123.2807,-123.2807,38.53099
"2020","38.53801_-123.2856",20,38.53801,-123.2856,-123.2856,38.53801
"2020","38.53963_-123.2887",28,38.53963,-123.2887,-123.2887,38.53963
"2020","38.54258_-123.2973",169,38.54258,-123.2973,-123.2973,38.54258
"2020","38.57004_-123.3412",14,38.57004,-123.3412,-123.3412,38.57004
"2020","38.58975_-123.3478",8,38.58975,-123.3478,-123.3478,38.58975
"2020","38.70402_-123.4543",10,38.70402,-123.4543,-123.4543,38.70402
"2020","38.72471_-123.4858",11,38.72471,-123.4858,-123.4858,38.72471
"2020","38.77069_-123.5421",121,38.77069,-123.5421,-123.5421,38.77069
"2020","38.78034_-123.5591",28,38.78034,-123.5591,-123.5591,38.78034
"2020","38.78356_-123.5646",36,38.78356,-123.5646,-123.5646,38.78356
"2020","38.78923_-123.5657",33,38.78923,-123.5657,-123.5657,38.78923
"2020","38.79461_-123.5727",13,38.79461,-123.5727,-123.5727,38.79461
"2020","38.80047_-123.5896",15,38.80047,-123.5896,-123.5896,38.80047
"2020","38.83024_-123.6345",92,38.83024,-123.6345,-123.6345,38.83024
"2020","38.83451_-123.6445",49,38.83451,-123.6445,-123.6445,38.83451
"2020","38.83644_-123.6383",13,38.83644,-123.6383,-123.6383,38.83644
"2020","38.83746_-123.6504",17,38.83746,-123.6504,-123.6504,38.83746
"2020","38.83774_-123.6477",29,38.83774,-123.6477,-123.6477,38.83774
"2020","38.84417_-123.6574",40,38.84417,-123.6574,-123.6574,38.84417
"2020","38.84659_-123.6605",14,38.84659,-123.6605,-123.6605,38.84659
"2020","38.84768_-123.6585",25,38.84768,-123.6585,-123.6585,38.84768
"2020","38.85033_-123.6692",16,38.85033,-123.6692,-123.6692,38.85033
"2020","38.85176_-123.6547",53,38.85176,-123.6547,-123.6547,38.85176
"2020","38.85198_-123.6644",26,38.85198,-123.6644,-123.6644,38.85198
"2020","38.85255_-123.6592",19,38.85255,-123.6592,-123.6592,38.85255
"2020","38.8533_-123.6692",21,38.8533,-123.6692,-123.6692,38.8533
"2020","38.85361_-123.6613",25,38.85361,-123.6613,-123.6613,38.85361
"2020","38.85364_-123.6571",69,38.85364,-123.6571,-123.6571,38.85364
"2020","38.85441_-123.6634",72,38.85441,-123.6634,-123.6634,38.85441
"2020","38.85525_-123.6582",69,38.85525,-123.6582,-123.6582,38.85525
"2020","38.85548_-123.6655",60,38.85548,-123.6655,-123.6655,38.85548
"2020","38.85877_-123.6575",15,38.85877,-123.6575,-123.6575,38.85877
"2020","38.86442_-123.6621",36,38.86442,-123.6621,-123.6621,38.86442
"2020","38.87351_-123.6798",69,38.87351,-123.6798,-123.6798,38.87351
"2020","38.87589_-123.6899",23,38.87589,-123.6899,-123.6899,38.87589
"2020","38.88561_-123.6924",58,38.88561,-123.6924,-123.6924,38.88561
"2020","38.89928_-123.7112",51,38.89928,-123.7112,-123.7112,38.89928
"2020","38.91325_-123.7259",17,38.91325,-123.7259,-123.7259,38.91325
"2020","38.91482_-123.7338",14,38.91482,-123.7338,-123.7338,38.91482
"2020","38.95664_-123.7471",17,38.95664,-123.7471,-123.7471,38.95664
"2020","39.10419_-123.7112",171,39.10419,-123.7112,-123.7112,39.10419
"2020","39.1166_-123.7158",231,39.1166,-123.7158,-123.7158,39.1166
"2020","39.1309_-123.7211",54,39.1309,-123.7211,-123.7211,39.1309
"2020","39.17341_-123.7518",65,39.17341,-123.7518,-123.7518,39.17341
"2020","39.19091_-123.7641",32,39.19091,-123.7641,-123.7641,39.19091
"2020","39.21352_-123.7776",45,39.21352,-123.7776,-123.7776,39.21352
"2020","39.21377_-123.7807",198,39.21377,-123.7807,-123.7807,39.21377
"2020","39.22243_-123.7791",198,39.22243,-123.7791,-123.7791,39.22243
"2020","39.24619_-123.7839",297,39.24619,-123.7839,-123.7839,39.24619
"2020","39.2505_-123.787",324,39.2505,-123.787,-123.787,39.2505
"2020","39.26393_-123.7987",12,39.26393,-123.7987,-123.7987,39.26393
"2020","39.26641_-123.7924",117,39.26641,-123.7924,-123.7924,39.26641
"2020","39.27069_-123.7987",131,39.27069,-123.7987,-123.7987,39.27069
"2020","39.29037_-123.8063",14,39.29037,-123.8063,-123.8063,39.29037
"2020","39.29581_-123.8011",21,39.29581,-123.8011,-123.8011,39.29581
"2020","39.30148_-123.8019",141,39.30148,-123.8019,-123.8019,39.30148
"2020","39.3017_-123.8102",11,39.3017,-123.8102,-123.8102,39.3017
"2020","39.30466_-123.8123",96,39.30466,-123.8123,-123.8123,39.30466
"2020","39.3252_-123.8129",12,39.3252,-123.8129,-123.8129,39.3252
"2020","39.36646_-123.827",119,39.36646,-123.827,-123.827,39.36646
"2020","39.41812_-123.8224",10,39.41812,-123.8224,-123.8224,39.41812
"2020","39.42684_-123.8127",30,39.42684,-123.8127,-123.8127,39.42684
